tweet_text,date_created,country,latitude,longitude,url
"@ChiChingChingJA Rock Di World 🌍 Remix Ft @fatmanscoop @stonebwoyb @patorankingfire 

E No Be Say By Force Wey We D… https://t.co/hgOS2nnoo0",Tue Apr 10 18:02:29 +0000 2018,Ghana,-0.3470252,5.51713,https://t.co/hgOS2nnoo0
@eddie_khae @kafuiii this the dance you were talking about?,Tue Apr 10 17:51:42 +0000 2018,Ghana,-0.3470252,5.51713,
@Joy997FM @lexisbill @Joselyn_Dumas Nice dance moves 😍😍,Tue Apr 10 14:43:00 +0000 2018,Ghana,-0.3470252,5.51713,
"#NowPlayingOnYfm @Y1079FM @Y979FM 

📻""Do The Dance"" ➡️ @eddie_khae 

#MMRS w/ @iambrownberry X @DJGANJ X @Ellakuns",Tue Apr 10 11:16:56 +0000 2018,Ghana,-3.2599659,4.677051,
She Dey dance roff https://t.co/bK2RnloOzm,Tue Apr 10 09:34:18 +0000 2018,Ghana,-0.3470252,5.51713,https://t.co/bK2RnloOzm
I have my ticket! Do you have yours? #Repost @JenniferCadiz ・・・ kuwait_school_of_dance will… https://t.co/kzcHdueep7,Wed Apr 11 11:47:30 +0000 2018,Kuwait,47.9425287,29.3450362,https://t.co/kzcHdueep7
Dance like no one is watching,Tue Apr 10 19:22:02 +0000 2018,Kuwait,48.0529411,29.3029491,
"Lee Know, what is your favorite kind of dance?

#AskStrayKids #StrayQuiz @Stray_Kids",Wed Apr 11 13:15:08 +0000 2018,Cambodia,102.3336805,9.9055303,
@FansTime_IFS Yugyeom (( Youngest &amp; King street dance)) 🐥💚🐥💚#PremiosMTVMiaw #MTVBRKPOPGOT7 @GOT7Official @GOT7_JYP https://t.co/RqYNqYW0sC,Wed Apr 11 13:14:22 +0000 2018,Thailand,100.4982188,14.8076582,
"My friend dance class 
Now started in Jammikunta https://t.co/2De4Rb9vMJ",Wed Apr 11 13:07:11 +0000 2018,India,67.997691,6.622513,
"@Actor_Akshat Hi Akshat, yes the show is called dance deewane on @ColorsTV",Wed Apr 11 13:04:12 +0000 2018,India,72.74484,18.845343,
Are you following me on Instagram yet? Then you are definitely missing out a lot of Dance updates. Do follow… https://t.co/vYy0WvpcKl,Wed Apr 11 12:46:10 +0000 2018,India,72.74484,18.845343,https://t.co/vYy0WvpcKl
"2018.4.20(金) 渋谷 🤗
POP UP
SOUND MUSEUM VISION
OPEN 22:00
💜ゲスト取れます❗️
GAIA
LIVE:BananaLemon

DJ:DAISHI DANCE / MITOMI… https://t.co/Hts4ZsAlNo",Fri Apr 13 03:26:16 +0000 2018,Japan,139.569658,35.462307,https://t.co/Hts4ZsAlNo
"沒有志龍的第46天 #好掛住你呀💖
171231 BIGBANG 2017 CONCERT LAST DANCE IN SEOUL🇰🇷 #Crooked #FightingKwonJiyong… https://t.co/NHNPvvbA8S",Fri Apr 13 02:54:39 +0000 2018,Republic of Korea,126.8369262,37.46487848,https://t.co/NHNPvvbA8S
"白玉ぜんざい
 
#松河屋老舗
#和菓子
#茶菓子
#名古屋
#和
#スイーツ
#お菓子
#おやつ
#白玉ぜんざい 
#ぜんざい… https://t.co/j4GFtJYK2E",Fri Apr 13 02:52:47 +0000 2018,Japan,136.899829,35.13941,https://t.co/j4GFtJYK2E
"4/13明日19:30頃〜ベリーダンスショー開催致します。
チャージフリーです。
ご予約お待ちしております。

#dance #ショー #show #福島駅近く #ベリーダンス #トルコレストラン #大阪 #大阪福島 #ハネダン… https://t.co/SVH7ojvtDF",Fri Apr 13 02:52:19 +0000 2018,Japan,135.49007,34.584841,https://t.co/SVH7ojvtDF
"スノーダンス♪
tonight～♪
Shazamを使ってNEWSのSnow Danceを発見しました。 https://t.co/EbBv4tnss1",Fri Apr 13 02:45:15 +0000 2018,Japan,139.749428,35.724769,https://t.co/EbBv4tnss1
"@ru_y_g 春財布って新しい財布買うにはいい時期
俺もポールスミスの新しい財布にした！",Fri Apr 13 02:28:04 +0000 2018,Japan,135.539156,34.675365,
@HARIBO_DANCE 되시는분을 찾아서 삼만리~ 가 됩니다...(땨흐흑),Fri Apr 13 02:25:00 +0000 2018,Republic of Korea,126.9545838,37.56086475,
"“You've gotta dance like there's nobody watching..   Love like you'll never be hurt,
Sing like there's nobody liste… https://t.co/EClf7AKwz5",Fri Apr 13 03:18:40 +0000 2018,Kenya,35.5650866,3.0947469,
": How To vote  DNADancers as the dance group of the year
step 1;
  Press on the  web site/link you have received
st… https://t.co/N6cEuYbCDB",Thu Apr 12 23:54:19 +0000 2018,Uganda,29.5735676,-1.4812885,
"I dance slow , but the devil tryin to rush me !",Thu Apr 12 22:52:41 +0000 2018,Kuwait,47.9568719,29.3435747,
@ZeeNews Bihu dance is part of culture of Assam😄,Fri Apr 13 03:50:23 +0000 2018,India,75.73808,17.558291,
"Park Jimin, your voice is so beautiful. Please, don’t change. We love you like you are now. Not only your voice or… https://t.co/cbNyQwyPYk",Wed Apr 11 21:09:55 +0000 2018,Azerbaijan,44.763113,38.3970566,https://t.co/cbNyQwyPYk
I never gonna dance again the way I’ve dance with you! #mood,Wed Apr 11 18:38:41 +0000 2018,Islamic Republic of Iran,44.0324781,25.0106719,
#hiphop #rnb #raggae #music #dance #tattoo #inked #inkedmag #tattoomagazink #efekttattoo… https://t.co/PSmL1BtXdt,Wed Apr 11 17:29:37 +0000 2018,Turkey,39.6131862,40.9257545,https://t.co/PSmL1BtXdt
Don’t miss out on my new Dance series ! The first video releases tomorrow at 8:30am “The Good… https://t.co/dZKbWLMO3p,Fri Apr 13 03:04:32 +0000 2018,Trinidad and Tobago,-61.930542,10.0424194,https://t.co/dZKbWLMO3p
@alinadanker_333 @Alina__8557321 @kaMillaSS @kristuha20 @moon_sad_dance  Удачи вам сегодня💖💖💖,Fri Apr 13 03:03:55 +0000 2018,Russia,39.44015,50.9462632,
13.04.18 Private Night Dance Club “Music Cherdachoc” Вечеринка «Пятница-13го». В программе… https://t.co/ekzzvpqNr6,Thu Apr 12 20:15:39 +0000 2018,Russia,37.206558,55.6367828,https://t.co/ekzzvpqNr6
"💥💥CHECK CHECK CHECK 💥💥 My new video 💥💥
#practice #dance #breakdance #breaking #dancing #toprock… https://t.co/iZC3pLxwwT",Thu Apr 12 17:26:37 +0000 2018,Russia,45.8283,51.4146,https://t.co/iZC3pLxwwT
"Happy to announce that Batsheva Dance Company bringing their latest work ‘Venezuela’ to CONTEXT Diana Vishneva 
Sta… https://t.co/O2mA4GSj4Q",Thu Apr 12 17:19:49 +0000 2018,Russia,36.8878157,55.4883244,https://t.co/O2mA4GSj4Q
Guess who’s back on the dance floor? @ Playground Moscow https://t.co/3IYY4RuR4q,Thu Apr 12 17:10:04 +0000 2018,Russia,36.8878157,55.4883244,https://t.co/3IYY4RuR4q
"@d0mari814 I don't think so. For example, things you describe in your dance threads, including mistakes - general p… https://t.co/xsKUebv862",Thu Apr 12 14:07:06 +0000 2018,Russia,41.9489554,55.5006757,https://t.co/xsKUebv862
New Banger🙌🙌🙌🙌 Shatta omega ft RNC militants- Dance with me (Gbetiti remix) https://t.co/etSwa4aS21,Thu Apr 12 12:22:22 +0000 2018,Ghana,-2.9413509,9.6415521,https://t.co/etSwa4aS21
https://t.co/ugImzPQcAv https://t.co/eJVTPtSc4c,Wed Apr 11 05:20:35 +0000 2018,Kazakhstan,46.4925433,40.9363327,
Обалденная. Крутая. Настоящая. На её фоне меркнут все. Лучшая в Social Dance aziza_polat… https://t.co/sfTAIeviEW,Wed Apr 11 05:13:14 +0000 2018,Uzbekistan,55.9966392,37.1843338,
@charlieallen41 @jon_niblett I can picture your dance with your arms folded leaning back in the bar to this hahaha,Fri Apr 13 16:29:59 +0000 2018,United Kingdom,0.477715,51.3252977,
"Tut with piano cover song!
#tut #tutting #dance #free #tutking https://t.co/HaDA0wPkOQ",Fri Apr 13 16:28:55 +0000 2018,Taiwan,121.282664,24.673115,
Need ko ng MGA kasama sa workshop sa Manghigh DANCE portion yoko magmuntanga dun mga beshie huhuhuhuhuh,Fri Apr 13 16:25:10 +0000 2018,Republic of the Philippines,120.8069022,14.0642361,
"@_AgentRomano 
~danielle
~chhs
~prom
~second dance or last dance ata yun o first basta mahalaga nag sayaw hahahaha
~love nacion",Fri Apr 13 16:24:46 +0000 2018,Republic of the Philippines,122.8909931,14.0773906,
"The fun boys go until the dawn moon sets
This is so fun, all fakeness has gone home
So even if you’re tone-deaf or… https://t.co/UoVBzez8yj",Fri Apr 13 11:29:02 +0000 2018,Kazakhstan,46.4925433,40.9363327,https://t.co/UoVBzez8yj
This 2 be giving me joy on a dance floor😜🕺🏽🕺🏽Never a dull moment with them on stage👍🏾RepostBy… https://t.co/4AplL1ym8S,Fri Apr 13 16:27:07 +0000 2018,Nigeria,3.2131467,6.4278856,https://t.co/4AplL1ym8S
"Oh, the memories from cadenzavagabundos #Cluj! ❤️
Now let's #dance for the future! @ Polyvalent… https://t.co/1BjZXni5cd",Fri Apr 13 15:37:17 +0000 2018,Romania,23.499253,46.6899645,https://t.co/1BjZXni5cd
"1st dance 💃🕺

.
.
.
#weddingphotography #weddingphotographer #weddingvenue#weddingdress
 #bride… https://t.co/Yr2xRbo2x9",Fri Apr 13 15:05:55 +0000 2018,Poland,18.2360241,53.437331,https://t.co/Yr2xRbo2x9
when you looked over your shoulder for a minute i forget that im older i wanna dance with you right now,Fri Apr 13 16:36:07 +0000 2018,Republic of the Philippines,120.875194,15.4294156,
"Hmm, too young, too dumb to realize
That I should’ve bought you flowers and held your hand
Should’ve gave you all m… https://t.co/m5FyxqS8TA",Fri Apr 13 16:36:17 +0000 2018,Brazil,-48.610313,-27.838936,https://t.co/m5FyxqS8TA
"Drake - one dance ft wizkid, kyla",Fri Apr 13 16:00:01 +0000 2018,Brazil,-51.249386,-29.97171,
E a aula com meus alunos é assim! Rs’ #educacaofisica #gym #dancer #cool #dance  #active… https://t.co/dQRXqZQlFF,Fri Apr 13 15:42:53 +0000 2018,Brazil,-46.567276,-23.815924,https://t.co/dQRXqZQlFF
Some dance to remember some dance to forget,Fri Apr 13 15:04:18 +0000 2018,Egypt,31.2086064,30.5769786,
@Pawankalyanlove @mass_ibn_siddiq @Nandu_4everPK Ayte elelele dance Eyy....era kanipisthundaa😂😂,Fri Apr 13 16:49:50 +0000 2018,India,75.6719774,31.1608732,
#djsid #weekendvibes #edm #dekhtamasha #bartalkindia #musicislove❤️ #loveismusic ♥️ #dance @… https://t.co/0H9Mvc1ug4,Fri Apr 13 16:12:31 +0000 2018,India,76.84252,28.397657,https://t.co/0H9Mvc1ug4
"Np📣Dance With You- @Omah 

On #TheTakeover📻w. Radio goddess @moetabebe 🎙️

👉🏾https://t.co/48OIWe2TGU 🇳🇬#Middayvibes🌞",Fri Apr 13 16:46:25 +0000 2018,Nigeria,2.6654364,4.1974055,https://t.co/48OIWe2TGU
"@tonipayne But If the dislike is on a normal level, well it's normal tho. But I personally think the dance is cool,… https://t.co/Sf4KzoCyxx",Fri Apr 13 16:43:47 +0000 2018,Nigeria,3.198942,6.4826762,https://t.co/Sf4KzoCyxx
@cchjnb @MNet @Lotto_Star @EClassens @connellcruise @Vanesdutoit @zolanombona @AshleighBHunter @marcellasolimeo… https://t.co/nNCBUyTTOS,Fri Apr 13 16:40:57 +0000 2018,South Africa,27.8925632,-26.136865,https://t.co/nNCBUyTTOS
